A1,10291H06-02,,,,
B1,10291H10-03,,,,
C1,10292A06-05,,,,
D1,10292A09-03,,,,
E1,10292B03-01,,,,
F1,10292B03-03,,,,
G1,10292B12-07,,,,
H1,10292C02-04,,,,
A2,10292C04-01,,,,
B2,10292C04-06,,,,
C2,10292C06-01,,,,
D2,10292C06-02,,,,
E2,10292C07-04,,,,
F2,10292C07-05,,,,
G2,10292C11-02,,,,
H2,10292D02-02,,,,
A3,10292D03-02,,,,
B3,10292D03-04,,,,
C3,10292D04-08,,,,
D3,10292D05-01,,,,
E3,10292D05-04,,,,
F3,10292D06-07,,,,
G3,10292D12-02,,,,
H3,,,,,
A4,,,,,
B4,,,,,
C4,,,,,
D4,,,,,
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,,,,,
B5,,,,,
C5,,,,,
D5,,,,,
E5,,,,,
F5,,,,,
G5,,,,,
H5,,,,,
A6,,,,,
B6,,,,,
C6,,,,,
D6,,,,,
E6,,,,,
F6,,,,,
G6,,,,,
H6,,,,,
A7,,,,,
B7,,,,,
C7,,,,,
D7,,,,,
E7,,,,,
F7,,,,,
G7,,,,,
H7,,,,,
A8,,,,,
B8,,,,,
C8,,,,,
D8,,,,,
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,,,,,
B9,,,,,
C9,,,,,
D9,,,,,
E9,,,,,
F9,,,,,
G9,,,,,
H9,,,,,
A10,,,,,
B10,,,,,
C10,,,,,
D10,,,,,
E10,,,,,
F10,,,,,
G10,,,,,
H10,,,,,
A11,,,,,
B11,,,,,
C11,,,,,
D11,,,,,
E11,,,,,
F11,,,,,
G11,,,,,
H11,,,,,
A12,,,,,
B12,,,,,
C12,,,,,
D12,,,,,
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
